"plot.id","cluster","plot","count.ha","ba.ha","agb.ha","bgb.ha","agc.ha","bgc.ha","v.ha","dbh.mean","dbh.qdr.mean","h.mean","h.loreys","count.ha.sdt","ba.ha.sdt","agb.ha.sdt","bgb.ha.sdt","agc.ha.sdt","bgc.ha.sdt","v.ha.sdt","count.ha.ddw","agb.ha.ddw","v.ha.ddw","agc.ha.ddw","c.can"
1003,10,3,650,10.8813302707165,34.9187400005573,9.60265350015325,16.4118078002619,4.51324714507203,38.4680198557513,11.5661538461538,24.784894915313,5.34307692307692,8.41721748971817,25,0.0706858347057703,0.160402226000027,0.0441106121500075,0.0753890462200129,0.0207319877105035,0.135674391134256,50,0.0470162006222179,0.911313196953327,0.0220976142924424,52.6431829063228
1004,10,4,520,4.36319310295655,12.5034851616793,3.43845841946181,5.87663802598927,1.61607545714705,10.9267038708681,9.15192307692308,13.962067649616,4.41442307692308,5.96259688338712,0,0,0,0,0,0,0,125,0.0637817829445286,0.987487001325837,0.0299774379839284,22.8376500123081
1005,10,5,10,0.530929158456675,1.86001423748644,0.511503915308771,0.874206691618627,0.240406840195122,1.60552977517299,26,26,7.2,7.2,0,0,0,0,0,0,0,0,0,0,0,2.43325846899527
1006,10,6,50,2.2535665121812,9.05238323294021,2.48940538905856,4.2546201194819,1.17002053285752,7.96910344636721,23.02,25.9911411374781,7.844,8.41956770395876,0,0,0,0,0,0,0,25,0.00927821107563766,0.143138815279185,0.0043607592055497,7.56483256919962
1007,10,7,295,5.9032096757279,25.6520296804736,7.05430816213025,12.0564539498226,3.31552483620122,23.78249883866,12.3457627118644,25.1092144966872,5.7064406779661,9.59223885740135,0,0,0,0,0,0,0,25,0.00160822325311053,0.0318086256175967,0.000755864928961948,32.4394250508105
1008,10,8,570,6.59150121020289,19.7934507928896,5.44319896804464,9.30292187265811,2.55830351498098,17.4043047261851,10.3754385964912,17.7285257418475,4.84333333333333,6.28670456928518,25,0.141862543263664,0.408232956902872,0.11226406314829,0.19186948974435,0.0527641096796962,0.353322850252482,0,0,0,0,39.2415676086413
1009,10,9,90,3.56523642292638,12.4446269487841,3.42227241091562,5.84897466592852,1.60846803313034,11.0900274032386,21.9555555555556,23.8502912279156,7.20222222222222,7.40619247037053,0,0,0,0,0,0,0,0,0,0,0,19.3309037047943
1010,10,10,20,1.68487541002838,9.11017498494865,2.50529812086088,4.28178224292586,1.17749011680461,7.7517149391185,32.75,32.7538165714952,11,10.954201142058,0,0,0,0,0,0,0,0,0,0,0,9.60976388825459
1101,11,1,20,1.1224596392011,3.47478442082073,0.955565715725701,1.63314867778574,0.44911588639108,3.12977762627447,26.7,26.8262923675446,6.6,6.63885919001371,0,0,0,0,0,0,0,0,0,0,0,5.48106284671551
1102,11,2,930,4.67426575353338,13.7090466616097,3.76998783194267,6.44325193095656,1.77189428101306,11.0920765384628,7.58064516129032,9.5888699579599,5.18634408602151,5.6500223642602,10,0.113097335529233,0.334232248942474,0.0919138684591803,0.157089157002963,0.0431995181758147,0.265054915546309,50,0.017243330010635,0.296126523527374,0.00810436510499843,24.5016028359818
